2026-03-17 20:09:44 | INFO     | evaluate_model |     combined.raw: dice=0.3740 matched_iou=0.7785 inst_recall=0.7647 n_pred=22
2026-03-17 20:09:45 | INFO     | evaluate_model | [4/70] 00013_fo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:45 | INFO     | evaluate_model |      streams.raw: dice=0.2915 matched_iou=0.7111 inst_recall=0.2000 n_pred=4
2026-03-17 20:09:45 | INFO     | evaluate_model | [4/70] 00013_fo (gt_mode=full)
2026-03-17 20:09:45 | INFO     | evaluate_model |   satellites.raw: dice=0.6566 matched_iou=0.7172 inst_recall=0.8750 n_pred=20
2026-03-17 20:09:45 | INFO     | evaluate_model |     combined.raw: dice=0.3300 matched_iou=0.7168 inst_recall=0.7143 n_pred=24
2026-03-17 20:09:45 | INFO     | evaluate_model | [14/70] 00027_fo (gt_mode=full)
2026-03-17 20:09:45 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:45 | INFO     | evaluate_model | [5/70] 00019_eo (gt_mode=full)
atched_iou=0.7411 inst_recall=0.8000 n_pred=5
2026-03-17 20:09:46 | INFO     | evaluate_model |     combined.raw: dice=0.1106 matched_iou=0.7411 inst_recall=0.4000 n_pred=5
2026-03-17 20:09:46 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:46 | INFO     | evaluate_model |      streams.raw: dice=0.5319 matched_iou=0.6719 inst_recall=0.4000 n_pred=6
2026-03-17 20:09:46 | INFO     | evaluate_model |      streams.raw: dice=0.3596 matched_iou=0.6726 inst_recall=0.4000 n_pred=4
2026-03-17 20:09:46 | INFO     | evaluate_model |   satellites.raw: dice=0.6022 matched_iou=0.7134 inst_recall=0.8125 n_pred=18
2026-03-17 20:09:46 | INFO     | evaluate_model |   satellites.raw: dice=0.6531 matched_iou=0.6982 inst_recall=0.8125 n_pred=17
2026-03-17 20:09:47 | INFO     | evaluate_model |     combined.raw: dice=0.5441 matched_iou=0.7079 inst_recall=0.7143 n_pred=24
2026-03-17 20:09:47 | INFO     | evaluate_model |     combined.raw: dice=0.3877 matched_iou=0.6948 inst_recall=0.7143 n_pred=21
2026-03-17 20:09:47 | INFO     | evaluate_model |   satellites.raw: dice=0.7027 matched_iou=0.7935 inst_recall=0.6667 n_pred=3
2026-03-17 20:09:47 | INFO     | evaluate_model |      streams.raw: dice=null matched_iou=null inst_recall=null n_pred=0
red=3
